decision_area,variable_or_feature_group,related_ao,decision,rationale,source_artifact_used,leakage_risk,target_reconstruction_risk,action_required_before_gold,owner_group_validation_needed,final_status
AO1 target,Late_delivery_risk,AO1,exclude_from_model_features,Official binary AO1 target and target-only field.,docs/ao1_target_definition.md; data/references/feature_availability_map.csv; data/references/leakage_conceptual_screening.csv; report/tables/ao1_class_imbalance_findings.md,high_if_used_as_predictor,low,Keep as AO1 target only and exclude from all predictor matrices,no,resolved
AO1 primary population,Delivery_Status equals Shipping canceled; Order_Status CANCELED or SUSPECTED_FRAUD,AO1,needs_group_validation,Canceled or fraud records are not normal completed deliveries and may contaminate the non-late class.,docs/ao1_target_definition.md; report/tables/pending_group_validation_decisions_for_gold.md,medium,low,Default proposal is to exclude Shipping canceled records from primary AO1 Gold and retain only sensitivity or audit flags,yes,unresolved_group_validation
Delivery outcome leakage fields,Delivery_Status; Days_for_shipping_real; shipping_date_DateOrders; Order_Status,AO1; AO2; dashboard,dashboard_only,Post-shipment or post-delivery fields may directly encode delivery or fulfillment outcomes.,docs/leakage_control_plan.md; docs/ao1_target_definition.md; docs/feature_availability_map.md; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md,high,low,Keep out of AO1 and AO2 predictors and retain only for audit dashboard or population sensitivity logic,no,resolved
AO2 target,Order_Profit_Per_Order,AO2,exclude_from_model_features,Official AO2 target and target-only field.,docs/ao2_target_policy.md; data/references/feature_availability_map.csv; report/tables/ao2_profitability_bivariate_findings.md,low,high_if_used_as_predictor,Keep as AO2 target only and exclude from predictor matrices,no,resolved
AO2 profit duplicates and realized margin proxies,Benefit_per_order; Order_Item_Profit_Ratio; direct profit transformations; realized margin fields,AO2; dashboard,dashboard_only,Benefit_per_order duplicates the AO2 target and Order_Item_Profit_Ratio is a realized profit proxy.,docs/ao2_target_policy.md; docs/leakage_control_plan.md; report/tables/ao2_profitability_bivariate_findings.md,medium,high,Exclude from predictors and use only for target audit descriptive historical margin governance or dashboard caveats,no,resolved
AO3 order-value denominator,Order_Item_Total; item_net_sales_amount; Sales_per_customer,AO2; AO3,conditional_for_gold_with_policy,Order_Item_Total is selected as the AO3 denominator while Sales_per_customer and item_net_sales_amount duplicate the same order-value concept.,docs/ao2_target_policy.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/univariate_distribution_eda_findings.md,low,medium,Retain Order_Item_Total as the single denominator and do not include duplicate value fields in the same AO2 predictor matrix,no_for_denominator_yes_before_ao2_predictor_use,resolved_for_denominator_conditional_for_ao2_predictors
Gross sales fields,Sales; item_gross_sales_estimate,AO2; AO3,needs_group_validation,Gross sales duplicates or overlaps price times quantity and may be redundant with the selected order-value denominator.,docs/ao2_target_policy.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/eda_univariate_summary.csv,low,medium,Keep out of default AO2 predictors until the team decides whether gross value is needed,yes,unresolved_group_validation
Price fields,Order_Item_Product_Price; item_unit_price; Product_Price; product_list_price,AO2,conditional_for_gold_with_policy,Price is order-time valid but duplicate representations exist and can strengthen formula reconstruction when paired with quantity discount and value.,docs/ao2_target_policy.md; docs/shipping_product_features.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/univariate_distribution_eda_findings.md,low,medium,If approved choose one item-level representation only and exclude duplicate price fields,yes_before_predictor_inclusion,conditional
Discount fields,Order_Item_Discount; item_discount_amount; Order_Item_Discount_Rate; item_discount_rate; item_discount_share_of_gross,AO2,conditional_for_gold_with_policy,Discount fields are likely order-time valid but amount rate and share duplicate related commercial concepts.,docs/ao2_target_policy.md; docs/shipping_product_features.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/eda_univariate_summary.csv,low,medium,If approved prefer one rate representation and defer discount share unless derived commercial ratios are explicitly approved,yes_before_predictor_inclusion,conditional
Quantity fields,Order_Item_Quantity; order_item_quantity,AO1; AO2,conditional_for_gold_with_policy,Quantity is decision-time valid and low-cardinality but AO2 use belongs with the commercial-field policy.,data/references/feature_availability_map.csv; docs/ao2_target_policy.md; report/tables/ao2_profitability_group_validation_list.csv; report/tables/eda_univariate_summary.csv,low,medium_when_paired_with_price_value_discount,Use only one representation and document AO2 use with the selected commercial field set,yes_before_ao2_predictor_inclusion,conditional
Transaction type,Type,AO1; AO2,needs_group_validation,Low-cardinality field with no missingness but business semantics are not fully validated.,data/references/feature_availability_map.csv; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md; report/tables/eda_univariate_summary.csv,low_to_medium,low,Do not include by default until the team confirms order-creation semantics and operational validity,yes,unresolved_group_validation
Planned shipping service fields,Days_for_shipment_scheduled; Shipping_Mode; scheduled_shipping_days; shipping_speed_tier; shipping_mode_normalized; is_same_day_or_next_day_shipping; is_standard_shipping,AO1; AO2,approved_for_gold_candidate,Planned service information is expected before dispatch and has strong AO1 descriptive signal without post-shipment leakage.,docs/leakage_control_plan.md; docs/shipping_product_features.md; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao1_class_imbalance_findings.md,low,low,Include as Gold candidate features while avoiding unnecessary raw and engineered duplicates,no,resolved
Raw order timestamp,order_date_DateOrders; order date (DateOrders),AO1; AO2; general_gold,lineage_or_split_only,Raw timestamp is required for chronological split and lineage but should not be an unconstrained model feature.,docs/leakage_control_plan.md; docs/order_time_features.md; report/tables/univariate_distribution_eda_findings.md; report/tables/ao1_late_delivery_bivariate_findings.md,medium_if_used_raw,low,Retain for split lineage and validation only and use derived calendar features for modeling,no,resolved
Derived order-time calendar features,order_year; order_quarter; order_month; order_week_of_year; order_day_of_month; order_day_of_week; order_hour; order_is_weekend; order_season,AO1; AO2,approved_for_gold_candidate,Deterministic features derived only from the order creation timestamp.,docs/order_time_features.md; data/references/leakage_conceptual_screening.csv; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md,low,low,Include as Gold candidate features with any later encoding fit on training data only,no,resolved
Product category and department descriptors,Category_Name; Department_Name; product_category_key; product_department_key,AO1; AO2,approved_for_gold_candidate,Category and department descriptors are order-time product mix fields with clear business meaning.,docs/feature_availability_map.md; docs/shipping_product_features.md; report/tables/ao2_profitability_bivariate_findings.md,low,low,Include as candidate product mix features and prefer descriptors over raw numeric IDs,no,resolved
Category and department raw IDs,Category_Id; Product_Category_Id; Department_Id,AO1; AO2,lineage_or_split_only,Numeric codes duplicate clearer descriptors and may be treated incorrectly as numeric signal.,data/references/feature_availability_map.csv; report/tables/eda_univariate_summary.csv; report/tables/pending_group_validation_decisions_for_gold.md,low,low,Do not use as direct predictors in first Gold matrices; keep only for stable keys or traceability,no,resolved
Product IDs names and catalog keys,Product_Card_Id; Order_Item_Cardprod_Id; Product_Name; product_catalog_key; product_name_normalized,AO1; AO2,defer_to_future_feature_design,Product-level identifiers and names are high-cardinality or key-like and risk overfitting or unstable catalog shortcuts.,docs/shipping_product_features.md; report/tables/univariate_distribution_eda_findings.md; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md,medium,low_to_medium,Exclude from first model-ready predictor set and revisit only with grouping frequency thresholds or time-aware aggregate design,yes_for_future_design,deferred
Product status,Product_Status; product_status_flag,AO1; AO2,exclude_from_model_features,EDA found one observed value and source semantics remain unclear.,report/tables/univariate_distribution_eda_findings.md; report/tables/ao1_class_imbalance_group_review_list.csv; docs/shipping_product_features.md,low,low,Exclude from first Gold model predictors and retain only as descriptive metadata if needed,no,resolved
Coarse customer and destination geography,Customer_Segment; Customer_Country; Customer_State; Market; Order_Country; Order_Region; Order_State; normalized equivalents,AO1; AO2,approved_for_gold_candidate,Coarse geography and segment fields are known at order creation and supported by the availability map.,docs/feature_availability_map.md; docs/customer_regional_features.md; report/tables/ao1_late_delivery_bivariate_findings.md; report/tables/ao2_profitability_bivariate_findings.md,low,low,Include as candidate features with encoding fit on training data only and cardinality reviewed during Gold,no,resolved
Geography availability and match flags,customer_zipcode_available; order_zipcode_available; geo_coordinates_available; customer_order_country_match; customer_order_state_match,AO1; AO2,approved_for_gold_candidate,Deterministic order-time flags avoid raw postal codes and precise coordinates.,docs/customer_regional_features.md; data/references/leakage_conceptual_screening.csv; report/tables/ao1_late_delivery_bivariate_summary.csv; report/tables/ao2_profitability_bivariate_summary.csv,low,low,Include as candidate features if generated by the existing customer regional feature job,no,resolved
Granular geography,Customer_City; Order_City; Customer_Zipcode; Order_Zipcode; Latitude; Longitude; customer_city_normalized; order_city_normalized; customer_region_key; order_region_key; latitude_rounded; longitude_rounded,AO1; AO2,defer_to_future_feature_design,Fields are granular high-cardinality privacy or stability sensitive and Order_Zipcode has high missingness.,docs/customer_regional_features.md; report/tables/univariate_distribution_eda_findings.md; report/tables/ao1_late_delivery_group_validation_list.csv; report/tables/ao2_profitability_group_validation_list.csv,medium,low,Exclude direct use from first model-ready Gold predictors and revisit only with approved grouping coarse bins or train-only aggregates,yes_for_future_design,deferred
Customer identifiers and historical aggregates,Customer_Id; Order_Customer_Id; customer-history aggregates,AO1; AO2,defer_to_future_feature_design,Raw customer IDs have high cardinality and historical aggregates require time-aware train-only logic.,docs/leakage_control_plan.md; docs/feature_availability_map.md; report/tables/univariate_distribution_eda_findings.md,medium,low,Keep raw customer IDs out of predictors and do not build customer historical aggregates in first Gold scope,yes_for_future_design,deferred
Order and item identifiers,Order_Id; Order_Item_Id,general_gold,lineage_or_split_only,Order and item identifiers are row keys rather than predictive business signals.,docs/leakage_control_plan.md; data/references/feature_availability_map.csv; docs/silver_schema_data_dictionary.md,low,low,Retain only for joins deduplication traceability and validation,no,resolved
Technical lineage metadata,_ingest_timestamp; _source_file; _silver_processed_timestamp; feature processed timestamp columns,general_gold; dashboard,lineage_or_split_only,Technical metadata supports reproducibility and troubleshooting not predictive modeling.,docs/silver_schema_data_dictionary.md; docs/order_time_features.md; docs/shipping_product_features.md; docs/customer_regional_features.md,low,low,Retain only in audit or lineage views and exclude from AO1 and AO2 predictors,no,resolved
Sensitive personal identifiers,Customer_Email; Customer_Fname; Customer_Lname; Customer_Password; Customer_Street,general_gold; dashboard,exclude_from_model_features,Personal or sensitive identifiers are not operational modeling signals and should not appear in ordinary dashboard outputs.,docs/leakage_control_plan.md; docs/feature_availability_map.md; docs/silver_schema_data_dictionary.md,medium,low,Exclude from predictive Gold and ordinary dashboards while retaining only in raw traceability layers if already present,no,resolved
Product asset and text fields,Product_Image; Product_Description,dashboard,dashboard_only,Product image is a catalog asset and product description is empty in the reviewed dataset.,docs/feature_availability_map.md; docs/silver_schema_data_dictionary.md,low,low,Exclude from predictors and use only for dashboard catalog display or metadata audit if needed,no,resolved
Engineered features missing from issue 18 input,product_catalog_key; product_list_price; item_unit_price; item_discount_amount; item_discount_share_of_gross; customer_region_key,general_gold,conditional_for_gold_with_policy,These are generated by later feature scripts and are not conceptually invalid but must follow their family-specific policy.,report/tables/univariate_distribution_eda_findings.md; docs/shipping_product_features.md; docs/customer_regional_features.md; data/references/leakage_conceptual_screening.csv,varies_by_family,varies_by_family,Gold may consume existing feature-engineering outputs but should not create new feature logic in this task and should apply family-specific decisions,depends_on_feature_family,resolved_as_policy_mapping
Chronological split,order_date_DateOrders sorted split,general_gold; AO1; AO2; AO3,lineage_or_split_only,Official policy is earliest 80 percent development and most recent 20 percent held-out test by order date.,docs/leakage_control_plan.md; docs/silver_schema_data_dictionary.md,medium_if_ignored,low,Retain order_date_DateOrders for split assignment and do not fit preprocessing or thresholds on held-out test data,no,resolved
Dashboard-only and predictor separation,targets outcomes actual shipping fields profit audit fields images assets status fields,dashboard; general_gold,dashboard_only,Dashboard fields support interpretation but must stay separate from model matrices.,docs/leakage_control_plan.md; docs/feature_availability_map.md; docs/leakage_conceptual_screening.md,high_if_mixed_into_predictors,high_for_profit_fields,Build separate dashboard audit outputs or clearly marked non-predictor columns and explicit predictor lists,no,resolved
AO1 resampling and class weighting,SMOTE; undersampling; oversampling; class weights,AO1,defer_to_future_feature_design,AO1 imbalance is mild in the full Silver clone and resampling depends on chronological train validation distributions and model choice.,docs/ao1_class_imbalance_analysis.md; report/tables/ao1_class_imbalance_findings.md; docs/leakage_control_plan.md,high_if_applied_before_split,low,Do not apply in Gold and defer to modeling training fold only after chronological split,no,deferred_to_modeling
AO1 operating threshold,classification threshold; recall precision tradeoff,AO1; AO3,defer_to_future_feature_design,Thresholds must be selected using validation data after model training.,docs/leakage_control_plan.md; report/tables/ao1_class_imbalance_findings.md,medium_if_tuned_on_test,low,Do not set thresholds in Gold and document threshold selection as a modeling task,no,deferred_to_modeling
AO3 risk-margin grouping and evaluation,risk cutoff; margin cutoff; 2x2 priority groups; risk-only comparison; profit-only comparison,AO3,defer_to_future_feature_design,AO3 groups must use AO1 and AO2 predictions and validation-selected thresholds rather than actual test outcomes.,docs/leakage_control_plan.md; docs/ao2_target_policy.md,high_if_actual_outcomes_define_test_groups,medium_if_actual_profit_is_used,Prepare support columns only and do not assign AO3 groups before modeling,no,deferred_to_modeling
