silver_column_name,silver_data_type,source_column_name,source_layer,derivation_or_cleaning_note,business_meaning,missing_value_rule,quality_caveat,decision_time_availability,ao1_usage,ao2_usage,dashboard_usage,target_relevance,leakage_restriction,approved_use_note,review_status,related_document
Type,string,Type,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Type of transaction made,Blank strings are trimmed and converted to null; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,May be used as a categorical candidate after train-only encoding.,needs_review,docs/leakage_control_plan.md
Days_for_shipping_real,int,Days for shipping (real),bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Actual shipping days of the purchased product,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",after_delivery,forbidden,forbidden,dashboard_only,outcome_proxy,Actual shipping duration is known only after fulfillment and can directly reveal late-delivery behavior.,"Use only for outcome audit, descriptive dashboards, and AO1 target validation.",approved,docs/ao1_target_definition.md
Days_for_shipment_scheduled,int,Days for shipment (scheduled),bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Days of scheduled delivery of the purchased product,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,before_dispatch,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can support planned-service features such as speed tier or urgent-service flag.,deferred_to_gold,docs/leakage_control_plan.md
Benefit_per_order,double,Benefit per order,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Earnings per order placed,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",target_or_outcome,forbidden,forbidden,dashboard_only,profit_proxy,This field is an earnings/profit outcome and is documented as an exact duplicate or proxy of the AO2 target.,Use only for AO2 target audit or descriptive historical reporting.,approved,docs/ao2_target_policy.md
Sales_per_customer,double,Sales per customer,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Total sales per customer made per customer,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer Order Item Total if both are available; document any selected financial predictors.,needs_review,docs/ao2_target_policy.md
Delivery_Status,string,Delivery Status,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.","Delivery status of orders: Advance shipping, Late delivery, Shipping canceled, Shipping on time",Blank strings are trimmed and converted to null; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",after_delivery,forbidden,forbidden,dashboard_only,outcome_proxy,Delivery status is a post-delivery outcome and direct proxy for AO1 late-delivery target.,Use only for descriptive reporting and target validation.,approved,docs/ao1_target_definition.md
Late_delivery_risk,int,Late_delivery_risk,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,"Categorical variable that indicates if shipping is late (1) or not late (0).",Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",target_or_outcome,target,forbidden,allowed,ao1_target,Target-only field; never use as a predictor.,"Use as AO1 target only; exclude from AO1, AO2, and dashboard predictor feature matrices.",approved,docs/ao1_target_definition.md
Category_Id,int,Category Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Product category code,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use directly only after categorical review; training-only encoding required for modeling.,needs_review,docs/leakage_control_plan.md
Category_Name,string,Category Name,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Description of the product category,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be normalized or grouped deterministically before train-only encoding.,deferred_to_gold,docs/leakage_control_plan.md
Customer_City,string,Customer City,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",City where the customer made the purchase,Blank strings are trimmed and converted to null; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use normalized city or grouped region features; avoid blind one-hot encoding.,needs_review,docs/leakage_control_plan.md
Customer_Country,string,Customer Country,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Country where the customer made the purchase,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be used as a regional categorical feature after train-only encoding.,deferred_to_gold,docs/leakage_control_plan.md
Customer_Email,string,Customer Email,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Customer email,Blank strings are trimmed and converted to null; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,sensitive_identifier,forbidden,forbidden,restricted,not_target,Masked or direct customer contact information is an identifier and not operationally useful for modeling.,Exclude from modeling and dashboard outputs unless explicitly needed for data-quality audit.,approved,docs/leakage_control_plan.md
Customer_Fname,string,Customer Fname,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Customer first name,Blank strings are trimmed and converted to null; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,sensitive_identifier,forbidden,forbidden,restricted,not_target,Customer first name is a personal identifier.,Exclude from modeling and reporting artifacts.,approved,docs/leakage_control_plan.md
Customer_Id,int,Customer Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Customer ID,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,May support historical aggregates only if computed with time-aware train-only logic.,needs_review,docs/leakage_control_plan.md
Customer_Lname,string,Customer Lname,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Customer last name,Blank strings are trimmed and converted to null; Silver does not impute.,Limited missingness noted in Silver cleaning rules and personal-identifier policy still applies.,sensitive_identifier,forbidden,forbidden,restricted,not_target,Customer last name is a personal identifier and has limited modeling value.,Exclude from modeling and reporting artifacts.,approved,docs/leakage_control_plan.md
Customer_Password,string,Customer Password,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Masked customer key,Blank strings are trimmed and converted to null; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,sensitive_identifier,forbidden,forbidden,restricted,not_target,Masked customer password/key is sensitive and non-operational for modeling.,Exclude from all modeling and dashboard artifacts.,approved,docs/leakage_control_plan.md
Customer_Segment,string,Customer Segment,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.","Customer segment such as Consumer, Corporate, or Home Office.",Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be normalized and encoded inside train-only preprocessing.,deferred_to_gold,docs/leakage_control_plan.md
Customer_State,string,Customer State,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Customer/store state recorded at purchase,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be normalized or grouped before train-only encoding.,deferred_to_gold,docs/leakage_control_plan.md
Customer_Street,string,Customer Street,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Street-level customer/store address detail,Blank strings are trimmed and converted to null; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,sensitive_identifier,forbidden,forbidden,restricted,not_target,Street-level address detail is high-cardinality and sensitive.,Exclude; use coarser regional fields instead.,approved,docs/leakage_control_plan.md
Customer_Zipcode,string,Customer Zipcode,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Customer postal code,Blank strings are trimmed and converted to null; Silver does not impute.,Limited missingness noted in Silver cleaning rules; postal-code granularity still requires review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.,needs_review,docs/leakage_control_plan.md
Department_Id,int,Department Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Department code of store,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use with documented category/department grouping decisions.,needs_review,docs/leakage_control_plan.md
Department_Name,string,Department Name,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Department name of store,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be normalized and encoded inside train-only preprocessing.,deferred_to_gold,docs/leakage_control_plan.md
Latitude,double,Latitude,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Latitude corresponding to location of store,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer rounded coordinates or regional grouping for modeling.,needs_review,docs/leakage_control_plan.md
Longitude,double,Longitude,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Longitude corresponding to location of store,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer rounded coordinates or regional grouping for modeling.,needs_review,docs/leakage_control_plan.md
Market,string,Market,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.","Destination market such as Africa, Europe, LATAM, Pacific Asia, or USCA.",Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be used as a regional categorical feature after train-only encoding.,deferred_to_gold,docs/leakage_control_plan.md
Order_City,string,Order City,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Destination city of the order,Blank strings are trimmed and converted to null; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,"Use normalized city, grouped geography, or training-only encoding with review.",needs_review,docs/leakage_control_plan.md
Order_Country,string,Order Country,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Destination country of the order,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be used as a regional categorical feature after train-only encoding.,deferred_to_gold,docs/leakage_control_plan.md
Order_Customer_Id,int,Order Customer Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Customer order code,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,May support training-only historical aggregates if approved.,needs_review,docs/leakage_control_plan.md
order_date_DateOrders,timestamp,order date (DateOrders),bronze,Canonicalized from Bronze source name; parsed as timestamp using the approved DataCo pattern M/d/yyyy H:mm.,Date on which the order is made,Blank or unparseable timestamp values remain null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Use derived calendar features; avoid treating raw timestamp as an unconstrained model feature.,needs_review,docs/leakage_control_plan.md
Order_Id,int,Order Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Order code,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,order_creation,forbidden,forbidden,allowed,not_target,"Order ID is a row/order identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation.",approved,docs/leakage_control_plan.md
Order_Item_Cardprod_Id,int,Order Item Cardprod Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Product code generated through the RFID reader,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use only after product grouping or train-only encoding review.,needs_review,docs/leakage_control_plan.md
Order_Item_Discount,double,Order Item Discount,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Order item discount value,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Allowed only if documented as pre-dispatch and not used to reconstruct profit target.,needs_review,docs/ao2_target_policy.md
Order_Item_Discount_Rate,double,Order Item Discount Rate,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Order item discount percentage,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Can support commercial structure features with AO2 review.,needs_review,docs/ao2_target_policy.md
Order_Item_Id,int,Order Item Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Order item code,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Identifier or sensitive field; not a direct modeling signal.,order_creation,forbidden,forbidden,allowed,not_target,"Order item ID is a row/item identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation.",approved,docs/leakage_control_plan.md
Order_Item_Product_Price,double,Order Item Product Price,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Price of products without discount,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer one price field only; document AO2 financial predictor selection.,needs_review,docs/ao2_target_policy.md
Order_Item_Profit_Ratio,double,Order Item Profit Ratio,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Order item realized profit ratio,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",target_or_outcome,forbidden,forbidden,dashboard_only,profit_proxy,Realized profit ratio can reconstruct or approximate AO2 target when combined with order value.,"Use only for descriptive historical margin audit, never as main AO2 predictor.",approved,docs/ao2_target_policy.md
Order_Item_Quantity,int,Order Item Quantity,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Number of products per order,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be used directly as a numeric predictor after validation.,deferred_to_gold,docs/ao2_target_policy.md
Sales,double,Sales,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Value in sales,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Allowed only with documented AO2 financial predictor policy; avoid redundant value fields.,needs_review,docs/ao2_target_policy.md
Order_Item_Total,double,Order Item Total,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Total amount per order,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Conditionally allowed for AO2/AO3 with documented financial predictor policy.,needs_review,docs/ao2_target_policy.md
Order_Profit_Per_Order,double,Order Profit Per Order,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Order-level realized profit,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",target_or_outcome,forbidden,target,allowed,ao2_target,Target-only field; never use as a predictor.,"Use as AO2 target only; exclude from AO1, AO2, and dashboard predictor feature matrices.",approved,docs/ao2_target_policy.md
Order_Region,string,Order Region,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Region of the world where the order is delivered,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be normalized and encoded inside train-only preprocessing.,deferred_to_gold,docs/leakage_control_plan.md
Order_State,string,Order State,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",State or province of the destination region,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,order_creation,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can be normalized or grouped before train-only encoding.,deferred_to_gold,docs/leakage_control_plan.md
Order_Status,string,Order Status,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.","Order status such as complete, pending, canceled, processing, suspected fraud, on hold, or payment review.",Blank strings are trimmed and converted to null; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",after_order_review,forbidden,forbidden,dashboard_only,outcome_proxy,"Order status may encode cancellation, fraud, payment review, or fulfillment outcomes after order creation.",Use only for descriptive analysis or AO1 population sensitivity decisions.,approved,docs/ao1_target_definition.md
Order_Zipcode,string,Order Zipcode,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Order destination postal code,Blank strings are trimmed and converted to null; Silver does not impute.,High missingness noted in Silver cleaning rules; prefer availability flags or coarse geography.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.,needs_review,docs/leakage_control_plan.md
Product_Card_Id,int,Product Card Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Product code,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use only after product grouping or train-only encoding review.,needs_review,docs/leakage_control_plan.md
Product_Category_Id,int,Product Category Id,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,Product category code,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use one category representation and document the choice.,needs_review,docs/leakage_control_plan.md
Product_Description,string,Product Description,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Product description,Blank strings are trimmed and converted to null; Silver does not impute.,Known source field is blank in source verification; keep descriptive only unless future data populates it.,descriptive_only,forbidden,forbidden,allowed,not_target,Product description is empty in the reviewed dataset and not useful for structured modeling.,Exclude from modeling; descriptive metadata only if populated in future data.,approved,docs/silver_cleaning_rules.md
Product_Image,string,Product Image,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Product image or product page link,Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,descriptive_only,forbidden,forbidden,dashboard_only,not_target,Product image URL/text asset is not part of the structured pre-shipment model.,Use only for dashboard or catalog display if needed.,approved,docs/leakage_control_plan.md
Product_Name,string,Product Name,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.",Product name,Blank strings are trimmed and converted to null; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use normalized product name only after grouping or train-only encoding review.,needs_review,docs/leakage_control_plan.md
Product_Price,double,Product Price,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to double in Silver.,Product list price,Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,Financial/order-value field; AO2 use requires duplicate-field and target-reconstruction review.,order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Prefer one price field only; document AO2 financial predictor selection.,needs_review,docs/ao2_target_policy.md
Product_Status,int,Product Status,bronze,Canonicalized from Bronze source name; blank strings trimmed to null; cast to integer in Silver.,"Product stock-status indicator: 1 means not available and 0 means available.",Blank strings become null before casting; invalid casts become null and are counted in the quality report; Silver does not impute.,"Requires review for cardinality, stability, privacy, duplicate-field risk, or business semantics before modeling.",order_creation,conditional,conditional,allowed,not_target,Conditional modeling candidate; requires documented Gold/modeling review before predictive use.,Use neutral feature naming and document interpretation before modeling.,needs_review,docs/leakage_control_plan.md
shipping_date_DateOrders,timestamp,shipping date (DateOrders),bronze,Canonicalized from Bronze source name; parsed as timestamp using the approved DataCo pattern M/d/yyyy H:mm.,Exact date and time of shipment,Blank or unparseable timestamp values remain null; Silver does not impute.,"Outcome, target, or post-event field; retain for audit/reporting but exclude from predictor matrices unless marked target-only.",after_shipment,forbidden,forbidden,dashboard_only,outcome_proxy,Shipment timestamp is known after order creation and may encode fulfillment timing.,"Use only for operational reporting and outcome audit, not predictive features.",approved,docs/ao1_target_definition.md
Shipping_Mode,string,Shipping Mode,bronze,"Canonicalized from Bronze source name; strings trimmed, blank strings converted to null, and repeated whitespace collapsed.","Planned shipping mode such as Standard Class, First Class, Second Class, or Same Day.",Blank strings are trimmed and converted to null; Silver does not impute.,No known Silver-specific caveat beyond source semantics and train-only downstream preprocessing requirements.,before_dispatch,allowed,allowed,allowed,not_target,No post-shipment leakage restriction identified; final Gold selection and train-only preprocessing are still required.,Can support shipping mode and speed-tier features.,deferred_to_gold,docs/leakage_control_plan.md
_ingest_timestamp,timestamp,_ingest_timestamp,silver_lineage,Preserved from Bronze ingestion metadata without modeling transformation.,Timestamp recorded when the source row was ingested into Bronze.,Expected to be populated by Bronze ingestion; Silver does not impute lineage metadata.,"Technical lineage field, not a business signal.",processing_metadata,not_applicable,not_applicable,dashboard_only,not_target,Exclude from AO1 and AO2 predictor matrices; retain only for audit traceability.,"Use for lineage, reproducibility checks, and troubleshooting only.",approved,docs/silver_cleaning_rules.md
_source_file,string,_source_file,silver_lineage,Preserved from Bronze ingestion metadata; string trimming and blank-to-null rules apply.,Source file identifier or path for the ingested source row.,Expected to be populated by Bronze ingestion; blank strings become null.,"Technical lineage field and possible local path reference, not a business signal.",processing_metadata,not_applicable,not_applicable,dashboard_only,not_target,Exclude from AO1 and AO2 predictor matrices; retain only for audit traceability.,"Use for source traceability, rerun checks, and troubleshooting only.",approved,docs/silver_cleaning_rules.md
_silver_processed_timestamp,timestamp,_silver_processed_timestamp,derived_silver,Added by the Silver cleaning job with current_timestamp() when records are processed.,Timestamp when the Silver cleaning job processed the row.,Expected to be populated during Silver processing; Silver does not impute.,"Technical processing timestamp, not a business signal.",processing_metadata,not_applicable,not_applicable,dashboard_only,not_target,Exclude from AO1 and AO2 predictor matrices; retain only for audit traceability.,Use for Silver rerun auditing and reproducibility checks only.,approved,docs/silver_cleaning_rules.md
