"todo_id","exact_todo_text","report_section","claim_supported","recommended_citation_key","action","metadata_status","missing_metadata","source_file_or_url","notes"
"v2_todo_01","[APA TODO: toorajipour_2021_ai_scm_review - missing full author initials, journal, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","AI and machine-learning reviews describe supply-chain analytics use cases.","toorajipour_2021_ai_scm_review","replace_after_metadata","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Use as broad AI-in-SCM background after verification."
"v2_todo_02","[APA TODO: ni_xiao_lim_2020_ml_scm_review - missing full author initials, journal, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","ML reviews describe supply-chain analytics use cases.","ni_xiao_lim_2020_ml_scm_review","replace_after_metadata","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Use with or instead of Toorajipour after verification."
"v2_todo_03","[APA TODO: baryannis_2019_supply_chain_risk_ml - missing full author initials, venue, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","Supply-chain risk-prediction literature supports ML risk identification and performance-interpretability trade-offs.","baryannis_2019_supply_chain_risk_ml","replace_after_metadata","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Core AO1 and interpretability framing source."
"v2_todo_04","[APA TODO: ahmed_2025_interpretable_supply_chain_forecasting - missing full author initials, venue, volume/issue/pages, DOI or URL]","Literature Review / Analytical Context","Applied late-delivery or DataCo-focused studies may provide additional context.","ahmed_2025_interpretable_supply_chain_forecasting","replace_after_metadata","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Use only if DataCo late-delivery precedent remains."
"v2_todo_05","[APA TODO: katangoori_2026_dataco_supply_chain_optimization - missing full publication metadata, DOI or URL, source-quality review]","Literature Review / Analytical Context","DataCo-focused studies may provide additional comparison context.","katangoori_2026_dataco_supply_chain_optimization","replace_after_metadata","partial_needs_metadata","Full publication metadata; DOI or URL; source-quality review.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Verify source quality before final citation."
"v2_todo_06","[APA TODO: hastie_tibshirani_friedman_2009_esl - missing edition, publisher, and URL if online version is cited]","Literature Review / Analytical Context","General statistical learning supports linear baselines, regularized regression, and nonlinear boosting.","hastie_tibshirani_friedman_2009_esl","replace_after_metadata","partial_needs_metadata","Edition; publisher; URL if online version is cited.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Core methods source."
"v2_todo_07","[APA TODO: liu_chen_zheng_feng_2022_leakage_suppression - missing venue or publisher, volume/issue/pages if applicable, DOI or URL]","Literature Review / Analytical Context","Future or test information can create leakage and falsely high evaluation results.","liu_chen_zheng_feng_2022_leakage_suppression","replace_after_metadata","partial_needs_metadata","Venue or publisher; volume/issue/pages if applicable; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; external Liu et al. PDF path recorded in inventory","Use with limitation: time-series-focused, not supply-chain-specific."
"v2_todo_08","[APA TODO: lundberg_lee_2017_shap - missing proceedings or venue details, DOI or URL]","Literature Review / Analytical Context","SHAP is used for model explanation rather than causal evidence.","lundberg_lee_2017_shap","replace_after_metadata","partial_needs_metadata","Proceedings or venue details; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Foundational SHAP method source."
"v2_todo_09","[APA TODO: microsoft_learn_powerbi_azure_databricks - missing Microsoft Learn page date, URL, and retrieval date if needed]","Literature Review / Analytical Context","Microsoft Learn supports the selected Power BI-to-Azure-Databricks connector architecture.","microsoft_learn_powerbi_azure_databricks","replace_after_metadata","reference_needed","Microsoft Learn page date; URL; retrieval date if needed.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/powerbi_databricks_serving_layer.md","Primary connector source, not Databricks Power Platform blog."
"v2_todo_10","[APA TODO: zaharia_2016_apache_spark - missing full author list, venue, DOI or URL]","Data Engineering and Cloud Implementation","Spark supports the data-processing pattern used in the academic workflow.","zaharia_2016_apache_spark","replace_after_metadata","partial_needs_metadata","Full author list; venue; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/databricks_setup.md","Use only for infrastructure support."
"v2_todo_11","[APA TODO: armbrust_2020_delta_lake - missing full author list, venue, DOI or URL]","Data Engineering and Cloud Implementation","Delta supports table management and reproducible pipeline storage.","armbrust_2020_delta_lake","replace_after_metadata","partial_needs_metadata","Full author list; venue; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/medallion_structure.md","Use only for infrastructure support."
"v2_todo_12","[APA TODO: databricks_official_reference - missing documentation page title, organization, date or year, URL, retrieval date if needed]","Data Engineering and Cloud Implementation","Databricks Community Edition and runtime context support the implementation environment.","databricks_official_reference","replace_after_metadata","reference_needed","Documentation page title; organization; date or year; URL; retrieval date if needed.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/databricks_setup.md","Use official Databricks docs only if external platform behavior remains cited."
"v2_todo_13","[APA TODO: xgboost_documentation_3_2_0 - missing documentation page title, organization, release/version, URL, retrieval date if needed]","Analytical Methods","XGBoost implementation support for selected AO1 and AO2 models.","xgboost_documentation_3_2_0","replace_after_metadata","reference_needed","Documentation page title; organization; release/version; URL; retrieval date if needed.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; requirements.txt; docs/databricks_setup.md","Use XGBoost docs release 3.2.0/current docs page after verification."
"v2_todo_14","[APA TODO: chen_guestrin_2016_xgboost_method - missing full paper title, venue, publisher/proceedings, DOI or URL]","Analytical Methods","Conditional note for broader XGBoost methodology discussion.","chen_guestrin_2016_xgboost_method","rewrite_sentence","reference_needed","If retained: full paper title; venue; publisher/proceedings; DOI or URL.","report/final_selected_apa_references.csv","Rewrite to avoid this citation unless broad XGBoost methodology remains."
"v2_todo_15","[APA TODO: scikit_learn_ridge_documentation - missing Ridge documentation page title, URL, retrieval date if needed]","Analytical Methods","scikit-learn Ridge documentation for the Ridge baseline implementation.","scikit_learn_ridge_documentation","replace_after_metadata","reference_needed","Ridge documentation page title; URL; retrieval date if needed.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; requirements.txt","Use only for Ridge implementation support."
"v2_todo_16","[APA TODO: scikit_learn_broad_citation_needed - missing canonical paper or documentation metadata]","Analytical Methods","Conditional note for broad scikit-learn implementation citation.","scikit_learn_broad_citation_needed","rewrite_sentence","reference_needed","If retained: scikit-learn paper or canonical citation metadata; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Rewrite out unless scikit-learn is cited broadly."
"v2_todo_17","[APA TODO: responsible_ai_governance_reference_needed - missing verified responsible AI, model governance, or limitations source if broad governance claims remain]","Limitations, Ethics, and Responsible Use","Human oversight, non-penalization, geography/customer-segment caution, and governance framing.","responsible_ai_governance_reference_needed","rewrite_sentence","reference_needed","If retained: author(s); year; title; venue/page; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_map.md","Rewrite around internal controls unless a governance source is collected."
"v2_todo_18","[APA TODO: ahmed_2025_interpretable_supply_chain_forecasting - missing full author initials, venue, volume/issue/pages, DOI or URL]","Working References","Incomplete working reference entry for Ahmed et al.","ahmed_2025_interpretable_supply_chain_forecasting","replace_after_metadata","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Reference-list counterpart to narrative citation."
"v2_todo_19","[APA TODO: armbrust_2020_delta_lake - missing full author list, venue, DOI or URL]","Working References","Incomplete working reference entry for Armbrust et al.","armbrust_2020_delta_lake","replace_after_metadata","partial_needs_metadata","Full author list; venue; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Reference-list counterpart to infrastructure citation."
"v2_todo_20","[APA TODO: baryannis_2019_supply_chain_risk_ml - missing full author initials, venue, volume/issue/pages, DOI or URL]","Working References","Incomplete working reference entry for Baryannis et al.","baryannis_2019_supply_chain_risk_ml","replace_after_metadata","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Reference-list counterpart to AO1 literature citation."
"v2_todo_21","[APA TODO: chen_guestrin_2016_xgboost_method - missing full paper title, venue, publisher/proceedings, DOI or URL; use only if broad XGBoost methodology discussion remains]","Working References","Conditional working reference entry for Chen and Guestrin.","chen_guestrin_2016_xgboost_method","remove_marker","reference_needed","If retained: full paper title; venue; publisher/proceedings; DOI or URL.","report/final_selected_apa_references.csv","Remove entry if V2 narrows XGBoost support to official documentation."
"v2_todo_22","[APA TODO: hastie_tibshirani_friedman_2009_esl - missing edition, publisher, URL if online version is cited]","Working References","Incomplete working reference entry for Hastie et al.","hastie_tibshirani_friedman_2009_esl","replace_after_metadata","partial_needs_metadata","Edition; publisher; URL if online version is cited.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Reference-list counterpart to methods citation."
"v2_todo_23","[APA TODO: katangoori_2026_dataco_supply_chain_optimization - missing full publication metadata, DOI or URL, source-quality review]","Working References","Incomplete working reference entry for Katangoori.","katangoori_2026_dataco_supply_chain_optimization","replace_after_metadata","partial_needs_metadata","Full publication metadata; DOI or URL; source-quality review.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Use only after source-quality review."
"v2_todo_24","[APA TODO: liu_chen_zheng_feng_2022_leakage_suppression - missing venue or publisher, volume/issue/pages if applicable, DOI or URL; limitation: time-series leakage source, not supply-chain-specific]","Working References","Incomplete working reference entry for Liu et al.","liu_chen_zheng_feng_2022_leakage_suppression","replace_after_metadata","partial_needs_metadata","Venue or publisher; volume/issue/pages if applicable; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; external Liu et al. PDF path recorded in inventory","Keep limitation note in narrative if cited."
"v2_todo_25","[APA TODO: lundberg_lee_2017_shap - missing proceedings or venue details, DOI or URL]","Working References","Incomplete working reference entry for Lundberg and Lee.","lundberg_lee_2017_shap","replace_after_metadata","partial_needs_metadata","Proceedings or venue details; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Reference-list counterpart to SHAP citation."
"v2_todo_26","[APA TODO: microsoft_learn_powerbi_azure_databricks - missing Microsoft Learn page date, URL, retrieval date if needed]","Working References","Incomplete working reference entry for Microsoft Learn connector documentation.","microsoft_learn_powerbi_azure_databricks","replace_after_metadata","reference_needed","Microsoft Learn page date; URL; retrieval date if needed.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/powerbi_databricks_serving_layer.md","Primary Power BI/Azure Databricks connector source."
"v2_todo_27","[APA TODO: ni_xiao_lim_2020_ml_scm_review - missing full author initials, journal, volume/issue/pages, DOI or URL]","Working References","Incomplete working reference entry for Ni, Xiao, and Lim.","ni_xiao_lim_2020_ml_scm_review","replace_after_metadata","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Reference-list counterpart to SCM ML review citation."
"v2_todo_28","[APA TODO: scikit_learn_ridge_documentation - missing documentation page title, URL, retrieval date if used]","Working References","Incomplete working reference entry for scikit-learn Ridge documentation.","scikit_learn_ridge_documentation","replace_after_metadata","reference_needed","Documentation page title; URL; retrieval date if used.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; requirements.txt","Include only if Ridge implementation citation remains."
"v2_todo_29","[APA TODO: toorajipour_2021_ai_scm_review - missing full author initials, journal, volume/issue/pages, DOI or URL]","Working References","Incomplete working reference entry for Toorajipour et al.","toorajipour_2021_ai_scm_review","replace_after_metadata","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv","Reference-list counterpart to SCM AI review citation."
"v2_todo_30","[APA TODO: xgboost_documentation_3_2_0 - missing documentation page title, organization, URL, retrieval date if needed]","Working References","Incomplete working reference entry for XGBoost documentation.","xgboost_documentation_3_2_0","replace_after_metadata","reference_needed","Documentation page title; organization; URL; retrieval date if needed.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; requirements.txt","Reference-list counterpart to XGBoost implementation citation."
"v2_todo_31","[APA TODO: zaharia_2016_apache_spark - missing full author list, venue, DOI or URL]","Working References","Incomplete working reference entry for Zaharia et al.","zaharia_2016_apache_spark","replace_after_metadata","partial_needs_metadata","Full author list; venue; DOI or URL.","report/final_selected_apa_references.csv; report/final_apa_reference_inventory.csv; docs/databricks_setup.md","Reference-list counterpart to Spark citation."
