"source_key","source_category","report_section","concept_supported","current_in_text_citation","proposed_reference_entry","source_file_found","status","missing_fields","action_needed","notes"
"draft_marker_predictive_analytics_scm","literature_marker","Literature and decision context","Predictive analytics in supply chain management","[NEEDS APA SOURCE DETAILS: predictive analytics in supply chain management]","Use verified proposal-tracker candidates such as Toorajipour et al. (2021), Ni et al. (2020), Gopal et al. (2024), and Baryannis et al. (2019) after full APA metadata is confirmed.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA entries for selected literature; DOI or URL where available","Verify full source metadata before replacing the marker with citations.","This marker is intentional and should remain until the final literature set is confirmed."
"draft_marker_ml_delivery_risk_logistics","literature_marker","Literature and decision context","Machine learning for delivery risk and logistics prediction","[NEEDS APA SOURCE DETAILS: machine learning for delivery risk and logistics prediction]","Use verified candidates from Baryannis et al. (2019), Ahmed et al. (2025), Douaioui et al. (2024), Liang (2025), and Katangoori (2026) after metadata confirmation.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA entries; venue or publisher; DOI or URL","Confirm which delivery-risk sources are actually cited in final text.","Supports AO1 rationale without inventing final-test claims."
"draft_marker_profitability_regression","literature_marker","Literature and decision context","Profitability modeling and regression analytics","[NEEDS APA SOURCE DETAILS: profitability modeling and regression analytics]","Use Hastie, Tibshirani, and Friedman (2009) for general regression/boosting methodology and Katangoori (2026) if the verified article supports DataCo profit modeling.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata for Katangoori (2026); edition/publisher details for Hastie et al. (2009) if used","Verify a source specifically supporting profitability estimation or limit the claim to project methodology.","Preserve AO2 target-reconstruction caution."
"draft_marker_data_leakage_predictive_modeling","literature_marker","Literature and decision context","Data leakage in predictive modeling","[NEEDS APA SOURCE DETAILS: data leakage in predictive modeling]","Katangoori (2026) appears relevant to DataCo leakage concerns, but a general methodological leakage source is still needed before final citation.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","reference_needed","General leakage source; full Katangoori metadata if used","Add a verified methodological reference for leakage or revise the sentence to cite only internal leakage-control artifacts.","Do not cite internal project docs as external literature for the definition of leakage."
"draft_marker_shap_explainable_ml","literature_marker","Literature and decision context","SHAP and explainable machine learning","[NEEDS APA SOURCE DETAILS: SHAP and explainable machine learning]","Use Lundberg and Lee (2017) for SHAP after full metadata is confirmed; Ahmed et al. (2025) may support interpretable supply-chain forecasting if verified.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Conference/proceedings or publication details; DOI or URL","Confirm exact SHAP reference metadata before replacing marker.","Keep the text clear that SHAP is explanatory and not causal."
"draft_marker_segmentation_decision_support","literature_marker","Literature and decision context","Segmentation and decision-support frameworks","[NEEDS APA SOURCE DETAILS: segmentation and decision-support frameworks]","Use Ashraf et al. (2025) for segmentation if metadata is verified; Katangoori (2026) may support DataCo risk-profit segmentation; a decision-support source may still be needed.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata; possible additional decision-support framework source","Verify whether the segmentation source fits AO3 risk-margin framing or add a stronger decision-support reference.","Do not overstate K-means value; current artifacts recommend not adopting K-means as main AO3."
"draft_marker_bi_dashboards_analytics_communication","literature_marker","Literature and decision context","Business intelligence dashboards and analytics communication","[NEEDS APA SOURCE DETAILS: business intelligence dashboards and analytics communication]","No specific dashboard communication literature is confirmed in the proposal tracker; Microsoft/Power BI documentation can support tooling claims only.","report/final_capstone_report_expanded_draft.md; dashboard/README.md; dashboard/powerbi_semantic_model.md","reference_needed","BI/dashboard communication source; exact Microsoft documentation if citing connector mechanics","Add a verified BI/analytics-communication reference or reduce the statement to internal dashboard design requirements.","Power BI is the selected dashboard direction; final screenshots, page inventory, .pbix submission route if required, and serving-layer manifest details may still need later updates."
"draft_ref_xgboost","tool_reference_marker","References","XGBoost model/package citation","[NEEDS APA SOURCE DETAILS: XGBoost original paper or official documentation]","A verified XGBoost paper or official documentation reference is required; current repo only records xgboost==2.0.3.","report/final_capstone_report_expanded_draft.md; requirements.txt; docs/databricks_setup.md","reference_needed","Author or organization; year; title; version if documentation; URL/DOI; retrieval date if needed","Locate and verify an official XGBoost citation before final reference cleanup.","Do not infer paper details from memory."
"draft_ref_shap","tool_reference_marker","References","SHAP model-explanation citation","[NEEDS APA SOURCE DETAILS: SHAP original paper or official documentation]","Use Lundberg and Lee (2017) after full metadata is confirmed; current repo records shap==0.44.1.","report/final_capstone_report_expanded_draft.md; requirements.txt; docs/databricks_setup.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full paper/proceedings metadata; URL or DOI","Verify and format the SHAP source in APA style.","Can also cite official documentation if the report discusses package mechanics."
"draft_ref_sklearn","tool_reference_marker","References","scikit-learn models, metrics, and K-means citation","[NEEDS APA SOURCE DETAILS: scikit-learn documentation for Logistic Regression, Ridge Regression, metrics, and K-means]","A verified scikit-learn documentation or paper reference is required; current repo only records scikit-learn==1.3.2.","report/final_capstone_report_expanded_draft.md; requirements.txt; docs/ao3_kmeans_extension.md","reference_needed","Author or organization; year; documentation title; version; URL; retrieval date if needed","Locate official scikit-learn citation details before finalizing references.","Needed if final report names scikit-learn functionality."
"draft_ref_apache_spark","tool_reference_marker","References","Apache Spark processing engine citation","[NEEDS APA SOURCE DETAILS: Apache Spark documentation if cited]","Zaharia et al. (2016) is listed in the proposal tracker; official Spark docs may also be needed if platform specifics are cited.","report/final_capstone_report_expanded_draft.md; docs/databricks_setup.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata for Zaharia et al. (2016); official docs URL if used","Verify whether to cite the paper, official docs, or both.","Report already describes Spark as part of the pipeline."
"draft_ref_delta_lake","tool_reference_marker","References","Delta Lake storage layer citation","[NEEDS APA SOURCE DETAILS: Delta Lake documentation if cited]","Armbrust et al. (2020) is listed in the proposal tracker; official Delta Lake docs may also be needed if implementation details are cited.","report/final_capstone_report_expanded_draft.md; docs/medallion_structure.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata for Armbrust et al. (2020); official docs URL if used","Verify the source type before final references.","Use only for platform/pipeline support, not analytical claims."
"draft_ref_databricks","tool_reference_marker","References","Databricks platform citation","[NEEDS APA SOURCE DETAILS: Databricks documentation if cited]","A verified Databricks Community Edition or Databricks documentation reference is required if the final report cites platform behavior.","report/final_capstone_report_expanded_draft.md; docs/databricks_setup.md","reference_needed","Documentation page title; organization; year/date; URL; retrieval date if needed","Add official Databricks documentation details or remove external citation need if only internal setup docs are referenced.","Cite Databricks for platform or serving-layer context only; Databricks native dashboards / AI/BI dashboards are not the planned final dashboard deliverable."
"draft_ref_powerbi_azure_databricks_connector","tool_reference_marker","References","Microsoft Power BI Azure Databricks connector citation","[NEEDS APA SOURCE DETAILS: Microsoft Power BI Azure Databricks connector documentation if cited]","A verified Microsoft documentation reference is required if connector instructions remain in final text.","report/final_capstone_report_expanded_draft.md; dashboard/powerbi_semantic_model.md; docs/powerbi_databricks_serving_layer.md","reference_needed","Documentation page title; Microsoft date; URL; retrieval date if needed","Add official Microsoft documentation details if the final report describes the selected direct Power BI connection to Azure Databricks serving-layer tables.","Power BI is the selected dashboard direction; PR #141 contains the first dashboard page."
"draft_ref_supply_chain_analytics_literature","reference_cleanup_marker","References","Supply-chain analytics literature used in proposal/course materials","[NEEDS APA SOURCE DETAILS: supply chain analytics literature used in the proposal or course materials]","Use only verified tracker sources selected for final text, likely Toorajipour et al. (2021), Ni et al. (2020), Gopal et al. (2024), Baryannis et al. (2019), and Ivanov et al. (2019/2021).","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata for selected proposal sources","Choose a concise set of final literature citations and verify each entry.","Avoid adding every proposal source if not used in report text."
"draft_ref_predictive_decision_support_literature","reference_cleanup_marker","References","Predictive analytics and decision-support literature","[NEEDS APA SOURCE DETAILS: predictive analytics and decision-support literature]","Potential sources include Baryannis et al. (2019), Ivanov et al. (2019/2021), Hastie et al. (2009), and possibly a new decision-support reference.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full APA metadata; possibly a stronger decision-support reference","Verify which sources directly support the decision-support claims.","Do not over-extend general ML methodology sources into managerial decision-support claims."
"draft_ref_responsible_ai_governance","reference_cleanup_marker","References","Responsible AI, model governance, and explainability literature","[NEEDS APA SOURCE DETAILS: responsible AI, model governance, or explainability literature]","Lundberg and Lee (2017) can support SHAP explainability after metadata confirmation, but a broader responsible-AI or model-governance source is still needed if those claims remain.","report/final_capstone_report_expanded_draft.md; C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","reference_needed","Responsible AI or governance source; full SHAP metadata if used","Add a verified responsible-AI/model-governance source or narrow the final text to internal governance practices.","Keep ethical-use text grounded in project controls."
"dataco_dataset_constante_2019","dataset","Data source and pipeline overview","DataCo Smart Supply Chain dataset source","Constante et al. (2019)","Constante, F., Silva, F., & Pereira, A. (2019). DataCo Smart Supply Chain for Big Data Analysis (Version 5) [Data set]. Mendeley Data. https://doi.org/10.17632/8gx2fvg2k6.5","docs/data_source_verification.md; report/final_capstone_report_expanded_draft.md","complete","None","Use this exact APA entry in the final report references.","Dataset metadata is checked in and includes DOI, version, date, contributors, and license."
"ahmed_2025_interpretable_supply_chain_forecasting","proposal_literature","AO1 and explainability context","Interpretable supply-chain forecasting using DataCo-like late-delivery context","Ahmed et al. (2025)","Ahmed et al. (2025). Deep learning framework for interpretable supply chain forecasting using SOM, ANN, and SHAP. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL","Verify full APA details before use.","Potential support for DataCo, late delivery, and SHAP."
"armbrust_2020_delta_lake","platform_literature","Data source and pipeline overview","Delta Lake storage infrastructure","Armbrust et al. (2020)","Armbrust et al. (2020). Delta Lake: High-performance ACID table storage over cloud object stores. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author list; venue; DOI or URL","Verify full APA details before use.","Useful if final report cites Delta Lake as infrastructure."
"ashraf_2025_customer_segmentation","proposal_literature","AO3 risk-margin prioritization framework","Customer segmentation using machine learning","Ashraf et al. (2025)","Ashraf et al. (2025). A framework for customer segmentation to improve marketing strategies using machine learning. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author initials; venue; DOI or URL","Verify relevance to AO3 before citation.","Likely secondary support for segmentation only."
"baryannis_2019_supply_chain_risk_ml","proposal_literature","AO1 and decision context","Supply-chain risk prediction and interpretability","Baryannis et al. (2019)","Baryannis et al. (2019). Predicting supply chain risks using machine learning: The trade-off between performance and interpretability. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author initials; venue; volume/issue/pages; DOI or URL","Verify full APA details before final report update.","Strong candidate for H1 and interpretability framing."
"chatrath_2026_ai_supply_chain_logistics","proposal_literature","Business problem and decision context","Broad AI in supply chain and logistics background","Chatrath (2026)","Chatrath (2026). The application of artificial intelligence in supply chain and logistics. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full publication metadata; DOI or URL","Verify whether this source is necessary; prioritize stronger peer-reviewed sources if possible.","Could be background only."
"chawla_2002_smote","methodology_literature","AO1 validation and class imbalance","SMOTE class-imbalance method","Chawla et al. (2002)","Chawla et al. (2002). SMOTE: Synthetic minority over-sampling technique. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md; docs/ao1_xgboost_classifier.md; docs/ao1_post_model_leakage_audit.md","not_needed_remove_marker","Full metadata would be needed only if SMOTE is discussed","Do not add this citation unless final text discusses SMOTE as a rejected or alternative method.","Current AO1 documentation states SMOTE is not used."
"douaioui_2024_late_delivery_resilience","proposal_literature","AO1 literature context","Late-delivery risk prediction and supply-chain resilience","Douaioui et al. (2024)","Douaioui et al. (2024). Enhancing supply chain resilience: RIME-clustering and ensemble deep learning strategies for late delivery risk prediction. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author initials; venue; DOI or URL","Verify full APA details and whether method claims align with this project.","Use for background, not to justify unimplemented deep-learning methods."
"gopal_2024_bda_supply_chain_performance","proposal_literature","Business problem and decision context","Big-data analytics and supply-chain performance","Gopal et al. (2024)","Gopal et al. (2024). Impact of big data analytics on supply chain performance. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full publication metadata; DOI or URL","Verify full APA details before use.","Candidate for business analytics framing."
"hastie_tibshirani_friedman_2009_esl","methodology_literature","AO1/AO2 methodology","Machine-learning methodology and evaluation","Hastie et al. (2009)","Hastie, Tibshirani, and Friedman (2009). The Elements of Statistical Learning. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Edition; publisher; URL if online version is cited","Verify exact APA book entry before final report use.","Useful for general regression/classification/boosting framing."
"ivanov_2021_digital_supply_chain_twins","proposal_literature","Decision context and limitations","Digital supply-chain visibility, resilience, and disruption risk","Ivanov et al. (2019/2021)","Ivanov, Dolgui, Das, and Sokolov (2019/2021). Digital supply chain twins. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Correct year; full title; venue; DOI or URL","Resolve the year ambiguity before citation.","Use only if final report discusses visibility/resilience context."
"katangoori_2026_dataco_supply_chain_optimization","proposal_literature","AO1/AO2/AO3 literature context","DataCo risk, profit, segmentation, and leakage comparison","Katangoori (2026)","Katangoori (2026). An empirical analysis of data-driven supply chain optimization in retail and logistics. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full publication metadata; DOI or URL","Verify full APA details and source quality before final use.","Tracker identifies this as the closest DataCo comparison."
"liang_2025_supply_chain_risk_decision_trees","proposal_literature","AO1 literature context","Fraud and late-delivery risk prediction using decision trees","Liang (2025)","Liang (2025). Detecting and predicting supply chain risks: Fraud and late delivery based on decision tree models. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full publication metadata; DOI or URL","Verify relevance and full APA details before use.","Can support DataCo risk-prediction context if confirmed."
"lundberg_lee_2017_shap","methodology_literature","Explainability and responsible-use considerations","SHAP explanation method","Lundberg and Lee (2017)","Lundberg and Lee (2017). A unified approach to interpreting model predictions. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Conference/proceedings details; URL or DOI","Verify exact APA details before final report update.","Central source for SHAP if explainability remains in final text."
"ni_xiao_lim_2020_ml_scm_review","proposal_literature","Literature and decision context","Machine-learning trends in supply-chain management","Ni et al. (2020)","Ni, Xiao, and Lim (2020). A systematic review of the research trends of machine learning in supply chain management. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL","Verify full APA details before use.","Candidate for broad ML-in-SCM framing."
"toorajipour_2021_ai_scm_review","proposal_literature","Literature and decision context","AI in supply-chain management review","Toorajipour et al. (2021)","Toorajipour et al. (2021). Artificial intelligence in supply chain management: A systematic literature review. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author initials; journal; volume/issue/pages; DOI or URL","Verify full APA details before use.","Candidate for broad AI/SCM framing."
"zaharia_2016_apache_spark","platform_literature","Data source and pipeline overview","Apache Spark big-data processing engine","Zaharia et al. (2016)","Zaharia et al. (2016). Apache Spark: A unified engine for big data processing. [metadata incomplete]","C:/Users/bruno/OneDrive - GUSCanada/data_analytics_MSc/Capstone/DataCo/Artigos/apa_reference_usefulness_tracker.md","partial_needs_metadata","Full author list; venue; DOI or URL","Verify full APA details before use.","Useful if final report cites Spark beyond internal setup notes."
"xgboost_package_reference","tool_platform_package","AO1 and AO2 modeling methods","XGBoost package and gradient boosting implementation","XGBoost package citation needed","Verified repository version: xgboost==2.0.3. Full paper or official documentation reference still required.","requirements.txt; docs/databricks_setup.md","reference_needed","Official citation or docs metadata; version; URL or DOI","Add verified source details before replacing XGBoost marker.","The package version is known, but source metadata is not checked in."
"scikit_learn_package_reference","tool_platform_package","AO1/AO2/AO3 modeling methods","scikit-learn Logistic Regression, Ridge Regression, metrics, and K-means","scikit-learn citation needed","Verified repository version: scikit-learn==1.3.2. Full documentation or paper reference still required.","requirements.txt; docs/ao3_kmeans_extension.md","reference_needed","Official citation or docs metadata; version; URL or DOI","Add verified source details if scikit-learn is named in final report.","Needed for model baselines and optional K-means if final text discusses implementation package."
"shap_package_reference","tool_platform_package","AO1/AO2 explainability","SHAP package implementation","SHAP citation needed","Verified repository version: shap==0.44.1. Full paper or official documentation reference still required.","requirements.txt; docs/databricks_setup.md","reference_needed","Official docs or paper metadata; version; URL or DOI","Use verified Lundberg and Lee paper and/or official package docs.","Separate package documentation from the conceptual SHAP literature source if necessary."
"apache_spark_docs_reference","tool_platform_package","Data source and pipeline overview","Apache Spark runtime/documentation","Apache Spark documentation if cited","Databricks setup records Spark 3.5.0 preferred runtime and Spark 3.4.1 fallback; official Spark docs metadata is not checked in.","docs/databricks_setup.md","reference_needed","Official documentation page title; date; URL; retrieval date if needed","Add official docs only if final report cites runtime details externally.","Zaharia et al. can cover Spark concept if verified."
"delta_lake_docs_reference","tool_platform_package","Data source and pipeline overview","Delta Lake documentation","Delta Lake documentation if cited","Delta Lake is part of the repository pipeline vocabulary; official documentation metadata is not checked in.","docs/medallion_structure.md; docs/databricks_setup.md","reference_needed","Official documentation page title; date; URL; retrieval date if needed","Add official docs only if final report cites Delta Lake implementation details.","Armbrust et al. can cover Delta Lake concept if verified."
"databricks_platform_reference","tool_platform_package","Reproducibility and validation","Databricks Community Edition platform","Databricks documentation if cited","Internal setup guide documents Databricks Community Edition runtime; external APA documentation is not checked in.","docs/databricks_setup.md","reference_needed","Official documentation page title; date; URL; retrieval date if needed","Add official Databricks docs or cite internal setup artifact only as project documentation.","Databricks supports the data and serving layer; Databricks native dashboards / AI/BI dashboards are not the planned final dashboard deliverable."
"microsoft_powerbi_reference","tool_platform_package","Dashboard status note","Power BI tool documentation","Power BI citation if cited","Power BI is the selected dashboard path; the first dashboard page was published in PR #141.","README.md; dashboard/README.md; dashboard/powerbi_semantic_model.md","reference_needed","Official Microsoft documentation title; date; URL; retrieval date if needed","Add official Microsoft docs if final text discusses Power BI mechanics or dashboard publication details.","Do not overstate remaining screenshot, page-inventory, .pbix submission-route, or serving-layer manifest completeness."
"azure_databricks_connector_reference","tool_platform_package","Dashboard status note","Azure Databricks connector for Power BI","Microsoft Power BI Azure Databricks connector documentation if cited","Connector workflow is documented internally but external Microsoft APA details are not checked in.","docs/powerbi_databricks_serving_layer.md; dashboard/powerbi_semantic_model.md","reference_needed","Official Microsoft page title; date; URL; retrieval date if needed","Add verified Microsoft connector docs if the selected direct Power BI connection to Azure Databricks serving-layer tables is described in final report text.","The direct Power BI connection to Azure Databricks serving-layer tables is the selected architecture."
"python_pandas_numpy_matplotlib_reference","tool_platform_package","AI/tooling usage note","Python and common data-analysis packages","No current APA marker in expanded draft","No external reference should be added unless final text makes package-specific claims about Python, pandas, NumPy, or Matplotlib.","requirements.txt","not_needed_remove_marker","N/A unless final text adds explicit package claims","Leave out of final references unless cited directly.","Versions are partially available in requirements.txt for numpy and pandas; Matplotlib is not listed there."
"final_capstone_report_artifact","internal_project_artifact","References / artifact links","Final-facing report draft","Internal artifact link","report/final_capstone_report.md","report/final_capstone_report.md","internal_project_artifact","N/A","Use as an internal artifact link, not an APA external reference.","Created as final-facing report/navigation artifact."
"final_artifact_index_artifact","internal_project_artifact","References / artifact links","Final artifact navigation","Internal artifact link","report/final_artifact_index.md","report/final_artifact_index.md","internal_project_artifact","N/A","Use as an internal artifact link for graders.","Do not list as an external APA reference."
"final_validation_summary_artifact","internal_project_artifact","References / artifact links","Final validation summary","Internal artifact link","report/final_validation_summary.md","report/final_validation_summary.md","internal_project_artifact","N/A","Use as an internal artifact link for validators and reproducibility.","Do not list as an external APA reference."
"data_source_verification_artifact","internal_project_artifact","Data source and pipeline overview","Dataset verification evidence","Internal artifact link","docs/data_source_verification.md","docs/data_source_verification.md","internal_project_artifact","N/A","Link in artifact appendix or evidence index.","This internal artifact supports the complete dataset APA entry."
"leakage_control_artifacts","internal_project_artifact","Leakage-control and feature policy","Leakage-control policy evidence","Internal artifact link","docs/leakage_control_plan.md; docs/leakage_conceptual_screening.md; docs/feature_availability_map.md","docs/leakage_control_plan.md; docs/leakage_conceptual_screening.md; docs/feature_availability_map.md","internal_project_artifact","N/A","Use as internal evidence for project controls.","Does not replace external leakage literature if a literature claim remains."
"chronological_split_artifact","internal_project_artifact","Chronological split strategy","Chronological split policy evidence","Internal artifact link","docs/chronological_split_policy.md; docs/ao1_chronological_partitions.md; docs/ao2_chronological_partitions.md","docs/chronological_split_policy.md; docs/ao1_chronological_partitions.md; docs/ao2_chronological_partitions.md","internal_project_artifact","N/A","Link as project evidence.","Supports reproducibility and split-policy claims."
"ao1_results_artifacts","internal_project_artifact","AO1 late-delivery-risk prediction","AO1 validation evidence","Internal artifact link","docs/ao1_results_h1_validation.md; report/tables/ao1_model_validation_comparison.csv; report/tables/ao1_shap_explainability_findings.md","docs/ao1_results_h1_validation.md; report/tables/ao1_model_validation_comparison.csv; report/tables/ao1_shap_explainability_findings.md","internal_project_artifact","N/A","Use as internal evidence for H1 wording.","Do not convert validation evidence into unsupported final-test claims."
"ao2_results_artifacts","internal_project_artifact","AO2 profitability estimation","AO2 validation and target-reconstruction evidence","Internal artifact link","docs/ao2_results_h2.md; docs/ao2_target_reconstruction_review.md; report/tables/ao2_model_validation_comparison.csv; report/tables/ao2_target_reconstruction_audit_findings.md","docs/ao2_results_h2.md; docs/ao2_target_reconstruction_review.md; report/tables/ao2_model_validation_comparison.csv; report/tables/ao2_target_reconstruction_audit_findings.md","internal_project_artifact","N/A","Use as internal evidence for H2 wording and AO2 caution.","Preserve target-reconstruction caveat."
"ao3_results_artifacts","internal_project_artifact","AO3 risk-margin prioritization framework","AO3 segmentation and benchmark evidence","Internal artifact link","docs/ao3_methodology_and_results.md; docs/ao3_risk_margin_benchmark.md; docs/ao3_operational_recommendations.md","docs/ao3_methodology_and_results.md; docs/ao3_risk_margin_benchmark.md; docs/ao3_operational_recommendations.md","internal_project_artifact","N/A","Use as internal evidence for H3 wording.","H3 is supported with caveats, not by realized intervention outcomes."
"dashboard_status_artifacts","internal_project_artifact","Dashboard status note","Selected Power BI dashboard path and serving-layer connection","Internal artifact link","dashboard/README.md; dashboard/powerbi_semantic_model.md; docs/powerbi_databricks_serving_layer.md","dashboard/README.md; dashboard/powerbi_semantic_model.md; docs/powerbi_databricks_serving_layer.md","internal_project_artifact","N/A","Use as internal evidence for the selected Power BI dashboard direction, selected Azure Databricks serving-layer connection, and PR #141 first-page publication.","Final screenshots, page inventory, .pbix submission route if required, and serving-layer manifest details may still be added later."
"testing_validation_artifacts","internal_project_artifact","Reproducibility and validation","Testing and validation commands","Internal artifact link","docs/TESTING.md; report/final_validation_summary.md","docs/TESTING.md; report/final_validation_summary.md","internal_project_artifact","N/A","Use as internal evidence for validation status.","Separate local validators from Databricks/PySpark/Delta-dependent validators."
