variable_name,screening_status,ao1_policy,reason_for_review,potential_slice_value,recommended_treatment,group_decision_needed
Type,needs_group_review,conditional,"Transaction type appears to be known at order creation, but business semantics should be confirmed before modeling. Required action: May be used as a categorical candidate after train-only encoding.","available; 4 distinct values; top value DEBIT has 69,295 rows",Defer pending group validation.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Sales per customer,needs_group_review,conditional,Despite its name this is treated under the current AO2 policy as order-value information that may duplicate Order Item Total; it is not approved as a customer-history aggregate. Required action: Confirm semantics before modeling; prefer Order Item Total if both are available and document selected AO2 financial predictors.,"available; 2927 distinct values; high-cardinality review required before slicing; top value 122.8399963 has 1,264 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Category Id,needs_group_review,conditional,Product category code is likely known at order creation but may be high-cardinality or duplicate Product Category Id. Required action: Use directly only after categorical review; training-only encoding required for modeling.,"available; 51 distinct values; high-cardinality review required before slicing; top value 17 has 24,551 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Customer City,needs_group_review,conditional,Customer city is likely known at order creation but may be high-cardinality and unstable. Required action: Use normalized city or grouped region features; avoid blind one-hot encoding.,"available; 563 distinct values; high-cardinality review required before slicing; top value Caguas has 66,770 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Customer Id,needs_group_review,conditional,Customer ID may be known at order creation but should not be used directly as a high-cardinality identifier. Required action: May support historical aggregates only if computed with time-aware train-only logic.,available; 20652 distinct values; high-cardinality review required before slicing; top value 5654 has 47 rows,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Customer Zipcode,needs_group_review,conditional,Customer postal code may be known at order creation but is granular and partially missing. Required action: Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.,"available; 995 distinct values; high-cardinality review required before slicing; top value 725.0 has 66,770 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Department Id,needs_group_review,conditional,Department code is expected to be known at order creation but may duplicate department name. Required action: Use with documented category/department grouping decisions.,"available; 11 distinct values; top value 7 has 66,861 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Latitude,needs_group_review,conditional,"Latitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled. Required action: Prefer rounded coordinates or regional grouping for modeling.",available; 11250 distinct values; high-cardinality review required before slicing; top value 18.2275734 has 417 rows,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Longitude,needs_group_review,conditional,"Longitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled. Required action: Prefer rounded coordinates or regional grouping for modeling.","available; 4487 distinct values; high-cardinality review required before slicing; top value -66.3706131 has 3,821 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order City,needs_group_review,conditional,"Order destination city is expected to be known before dispatch but may be high-cardinality. Required action: Use normalized city, grouped geography, or training-only encoding with review.","available; 3597 distinct values; high-cardinality review required before slicing; top value Santo Domingo has 2,211 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order Customer Id,needs_group_review,conditional,Order customer code is an identifier likely known at order creation but should not be used directly as a raw high-cardinality feature. Required action: May support training-only historical aggregates if approved.,available; 20652 distinct values; high-cardinality review required before slicing; top value 5654 has 47 rows,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
order date (DateOrders),needs_group_review,allowed,Order timestamp is known at order creation and is needed for chronological split and seasonality features. Required action: Use derived calendar features; avoid treating raw timestamp as an unconstrained model feature.,available; 65752 distinct values; high-cardinality review required before slicing; top value 10/25/2016 14:39 has 5 rows,Use approved derived order calendar fields; do not use raw timestamp directly.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order Item Cardprod Id,needs_group_review,conditional,Order-item product code is known at order creation but may be high-cardinality. Required action: Use only after product grouping or train-only encoding review.,"available; 118 distinct values; high-cardinality review required before slicing; top value 365 has 24,515 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order Item Discount,needs_group_review,conditional,Discount value is likely known at order time but must be reviewed for AO2 target-reconstruction risk. Required action: Allowed only if documented as pre-dispatch and not used to reconstruct profit target.,"available; 1017 distinct values; high-cardinality review required before slicing; top value 0.0 has 10,028 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order Item Discount Rate,needs_group_review,conditional,Discount rate is likely known at order time but must be reviewed for AO2 target-reconstruction risk. Required action: Can support commercial structure features with AO2 review.,"available; 18 distinct values; top value 0.039999999 has 10,029 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order Item Product Price,needs_group_review,conditional,Product price is expected to be known at order time but may duplicate Product Price. Required action: Prefer one price field only; document AO2 financial predictor selection.,"available; 75 distinct values; high-cardinality review required before slicing; top value 59.99000168 has 24,820 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Sales,needs_group_review,conditional,Gross sales is order-value information but may be mechanically tied to price and quantity. Required action: Allowed only with documented AO2 financial predictor policy; avoid redundant value fields.,"available; 193 distinct values; high-cardinality review required before slicing; top value 129.9900055 has 22,372 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order Item Total,needs_group_review,conditional,Discounted item/order value is expected to be known at order time and is recommended as AO3 denominator. Required action: Conditionally allowed for AO2/AO3 with documented financial predictor policy.,"available; 2927 distinct values; high-cardinality review required before slicing; top value 122.8399963 has 1,264 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Order Zipcode,needs_group_review,conditional,Order postal code may be known before dispatch but has high missingness and granular geography. Required action: Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.,available; 609 distinct values; high-cardinality review required before slicing; top value 10035.0 has 648 rows,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Card Id,needs_group_review,conditional,Product code is known at order time but may be high-cardinality. Required action: Use only after product grouping or train-only encoding review.,"available; 118 distinct values; high-cardinality review required before slicing; top value 365 has 24,515 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Category Id,needs_group_review,conditional,Product category code is known at order time but may duplicate Category Id. Required action: Use one category representation and document the choice.,"available; 51 distinct values; high-cardinality review required before slicing; top value 17 has 24,551 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Name,needs_group_review,conditional,Product name is known at order time but may be high-cardinality. Required action: Use normalized product name only after grouping or train-only encoding review.,"available; 118 distinct values; high-cardinality review required before slicing; top value Perfect Fitness Perfect Rip Deck has 24,515 rows","Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Price,needs_group_review,conditional,Product list price is expected to be known at order time but may duplicate Order Item Product Price. Required action: Prefer one price field only; document AO2 financial predictor selection.,"available; 75 distinct values; high-cardinality review required before slicing; top value 59.99000168 has 24,820 rows",Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
Product Status,needs_group_review,conditional,Product stock/status indicator is expected to be known before dispatch but source semantics should be preserved cautiously. Required action: Use neutral feature naming and document interpretation before modeling.,"available; 1 distinct values; top value 0 has 180,519 rows",Do not use as an approved modeling slice until group validation is complete.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_catalog_key,needs_group_review,conditional,"Product catalog composition key may be high-cardinality and should not be blindly encoded. Required action: Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_name_normalized,needs_group_review,conditional,"Normalized product name may be high-cardinality and unstable across catalog changes. Required action: Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_status_flag,needs_group_review,conditional,"Product status source semantics require group confirmation before predictive use. Required action: Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use.",not present or not derived in this focused EDA input,Do not use as an approved modeling slice until group validation is complete.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
product_list_price,needs_group_review,allowed,Product list price is order-time commercial information but may duplicate item_unit_price source fields. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
order_item_quantity,needs_group_review,allowed,"This engineered quantity is decision-time valid, but it is reviewed with the AO2 commercial feature family to avoid an uncontrolled financial/order-composition predictor set. Required action: Document whether AO2 uses this quantity alone, with selected price/discount fields, or excludes it from the main profitability model.",not present or not derived in this focused EDA input,Do not use as an approved modeling slice until group validation is complete.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_unit_price,needs_group_review,allowed,Item unit price is order-time commercial information but may duplicate product_list_price source fields. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_discount_amount,needs_group_review,allowed,Discount amount is expected at order time but requires AO2 target-reconstruction and redundancy review. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_discount_rate,needs_group_review,allowed,Discount rate is expected at order time but requires AO2 target-reconstruction and redundancy review. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_gross_sales_estimate,needs_group_review,allowed,Gross value estimate is derived from price and quantity and may duplicate Sales-like value fields. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_net_sales_amount,needs_group_review,allowed,Net sales amount comes from Order Item Total and is recommended as AO3 denominator but must be reviewed for AO2 use. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
item_discount_share_of_gross,needs_group_review,allowed,Discount share is derived from order value components and should be reviewed before AO2 modeling. Required action: Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.,not present or not derived in this focused EDA input,Exclude from AO1 imbalance slices unless the team separately approves descriptive use.,"Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
customer_city_normalized,needs_group_review,conditional,"Customer city may be high-cardinality and unstable for direct modeling. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
order_city_normalized,needs_group_review,conditional,"Destination city may be high-cardinality and unstable for direct modeling. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
customer_region_key,needs_group_review,conditional,"Customer region key combines multiple location levels and may be high-cardinality. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
order_region_key,needs_group_review,conditional,"Destination region key combines multiple location levels and may be high-cardinality. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
latitude_rounded,needs_group_review,conditional,"Rounded latitude reduces precision but still needs review for geographic granularity and stability. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
longitude_rounded,needs_group_review,conditional,"Rounded longitude reduces precision but still needs review for geographic granularity and stability. Required action: Review cardinality, privacy, stability, and grouping strategy before modeling use.",not present or not derived in this focused EDA input,"Defer until grouping, privacy, cardinality, and stability are reviewed.","Decide whether this field can be used for AO1 modeling design, descriptive EDA only, or should remain excluded."
