variable_name,analysis_column,variable_origin,variable_type,ao2_policy,screening_status,decision_time_valid,target_reconstruction_risk,eda_summary,notable_pattern,profit_difference_from_overall,sample_size_caveat,leakage_review_result,modeling_recommendation,requires_group_validation,recommended_action,financial_or_commercial_review_field,source_rationale,required_action_from_screening
Type,Type,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Categorical: 4 groups; 4 met support. Strongest supported group 'CASH' had mean profit $23.35 (+1.37 vs overall).,Highest supported mean: 'CASH' $23.35; lowest: 'PAYMENT' $21.26.,1.3723,Minimum support 903; 0 groups below threshold.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,"Transaction type appears to be known at order creation, but business semantics should be confirmed before modeling.",May be used as a categorical candidate after train-only encoding.
Days for shipping (real),Days_for_shipping_real,raw_dataco,categorical_numeric,forbidden,excluded,no,post_outcome_or_leakage_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling; retained only for descriptive audit or dashboard context.,"Use only for descriptive audit, dashboard, or governance context.",False,dashboard_only,False,Actual shipping duration is known only after fulfillment and can directly reveal late-delivery behavior.,"Use only for outcome audit, descriptive dashboards, and AO1 target validation."
Days for shipment (scheduled),Days_for_shipment_scheduled,raw_dataco,categorical_numeric,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 4 groups; 4 met support. Strongest supported group '1' had mean profit $23.12 (+1.15 vs overall).,Highest supported mean: '1' $23.12; lowest: '0' $20.85.,1.1472,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Scheduled shipping duration is planned service information expected to be known before dispatch.,Can support planned-service features such as speed tier or urgent-service flag.
Benefit per order,Benefit_per_order,raw_dataco,numeric,forbidden,excluded,target_or_proxy,high_target_or_profit_proxy,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,"Excluded from AO2 predictors because it is the target, duplicate profit, realized margin, or direct profit proxy.","Exclude from AO2 predictors as target, duplicate profit, or realized profit proxy.",False,target_or_proxy_excluded,True,This field is an earnings/profit outcome and is documented as an exact duplicate or proxy of the AO2 target.,Use only for AO2 target audit or descriptive historical reporting.
Sales per customer,Sales_per_customer,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (272.98, 1939.99] had mean profit $42.81 (+20.83 vs overall).","mean profit increases across supported bins; highest supported bin (272.98, 1939.99] $42.81; lowest bin (7.489, 94.5] $6.89.",20.8311,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Despite its name this is treated under the current AO2 policy as order-value information that may duplicate Order Item Total; it is not approved as a customer-history aggregate.,Confirm semantics before modeling; prefer Order Item Total if both are available and document selected AO2 financial predictors.
Delivery Status,Delivery_Status,raw_dataco,categorical,forbidden,excluded,no,post_outcome_or_leakage_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling; retained only for descriptive audit or dashboard context.,"Use only for descriptive audit, dashboard, or governance context.",False,dashboard_only,False,Delivery status is a post-delivery outcome and direct proxy for AO1 late-delivery target.,Use only for descriptive reporting and target validation.
Late_delivery_risk,Late_delivery_risk,raw_dataco,categorical_numeric,forbidden,approved,no,post_outcome_or_leakage_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,This is the official AO1 binary target and must never be used as a predictor.,"Use as AO1 target only; exclude from AO1, AO2, and dashboard predictor feature matrices."
Category Id,Category_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Product category code is likely known at order creation but may be high-cardinality or duplicate Product Category Id.,Use directly only after categorical review; training-only encoding required for modeling.
Category Name,Category_Name,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 50 groups; 15 met support. Strongest supported group 'Fishing' had mean profit $43.65 (+21.67 vs overall).,Highest supported mean: 'Fishing' $43.65; lowest: 'Golf Balls' $5.66.,21.6741,Minimum support 903; 35 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Product category name is expected to be known at order creation and has clear business meaning.,Can be normalized or grouped deterministically before train-only encoding.
Customer City,Customer_City,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Skipped direct category ranking: 563 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Customer city is likely known at order creation but may be high-cardinality and unstable.,Use normalized city or grouped region features; avoid blind one-hot encoding.
Customer Country,Customer_Country,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 2 groups; 2 met support. Strongest supported group 'Puerto Rico' had mean profit $21.82 (-0.16 vs overall).,Highest supported mean: 'EE. UU.' $22.07; lowest: 'Puerto Rico' $21.82.,-0.1599,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Customer country is a stable geographic field expected to be known at order creation.,Can be used as a regional categorical feature after train-only encoding.
Customer Email,Customer_Email,raw_dataco,categorical,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,Masked or direct customer contact information is an identifier and not operationally useful for modeling.,Exclude from modeling and dashboard outputs unless explicitly needed for data-quality audit.
Customer Fname,Customer_Fname,raw_dataco,categorical,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,Customer first name is a personal identifier.,Exclude from modeling and reporting artifacts.
Customer Id,Customer_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Customer ID may be known at order creation but should not be used directly as a high-cardinality identifier.,May support historical aggregates only if computed with time-aware train-only logic.
Customer Lname,Customer_Lname,raw_dataco,categorical,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,Customer last name is a personal identifier and has limited modeling value.,Exclude from modeling and reporting artifacts.
Customer Password,Customer_Password,raw_dataco,categorical,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,Masked customer password/key is sensitive and non-operational for modeling.,Exclude from all modeling and dashboard artifacts.
Customer Segment,Customer_Segment,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 3 groups; 3 met support. Strongest supported group 'Home Office' had mean profit $21.44 (-0.54 vs overall).,Highest supported mean: 'Consumer' $22.18; lowest: 'Home Office' $21.44.,-0.5376,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Customer segment is expected to be known at order creation and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.
Customer State,Customer_State,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 46 groups; 27 met support. Strongest supported group 'NM' had mean profit $28.12 (+6.14 vs overall).,Highest supported mean: 'NM' $28.12; lowest: 'LA' $18.11.,6.1444,Minimum support 903; 19 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Customer state is expected to be known at order creation and supports regional analysis.,Can be normalized or grouped before train-only encoding.
Customer Street,Customer_Street,raw_dataco,categorical,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,Street-level address detail is high-cardinality and sensitive.,Exclude; use coarser regional fields instead.
Customer Zipcode,Customer_Zipcode,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Customer postal code may be known at order creation but is granular and partially missing.,Prefer availability flags or coarse geographic grouping; avoid raw zip as direct feature.
Department Id,Department_Id,raw_dataco,categorical_numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Department code is expected to be known at order creation but may duplicate department name.,Use with documented category/department grouping decisions.
Department Name,Department_Name,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 11 groups; 8 met support. Strongest supported group 'Technology' had mean profit $77.25 (+55.27 vs overall).,Highest supported mean: 'Technology' $77.25; lowest: 'Discs Shop' $11.94.,55.2742,Minimum support 903; 3 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Department name is expected to be known at order creation and has clear business meaning.,Can be normalized and encoded inside train-only preprocessing.
Latitude,Latitude,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,"Latitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.",Prefer rounded coordinates or regional grouping for modeling.
Longitude,Longitude,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,"Longitude appears to describe customer/store geography and is expected to be known before dispatch, but precision should be controlled.",Prefer rounded coordinates or regional grouping for modeling.
Market,Market,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 5 groups; 5 met support. Strongest supported group 'Europe' had mean profit $23.27 (+1.30 vs overall).,Highest supported mean: 'Europe' $23.27; lowest: 'Pacific Asia' $20.79.,1.2966,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Market is an order destination operating region expected to be known before dispatch.,Can be used as a regional categorical feature after train-only encoding.
Order City,Order_City,raw_dataco,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Skipped direct category ranking: 3597 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order destination city is expected to be known before dispatch but may be high-cardinality.,"Use normalized city, grouped geography, or training-only encoding with review."
Order Country,Order_Country,raw_dataco,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Skipped direct category ranking: 164 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,Order destination country is expected to be known before dispatch and has clear business meaning.,Can be used as a regional categorical feature after train-only encoding.
Order Customer Id,Order_Customer_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order customer code is an identifier likely known at order creation but should not be used directly as a raw high-cardinality feature.,May support training-only historical aggregates if approved.
order date (DateOrders),order_date_DateOrders,raw_dataco,categorical,allowed,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Raw timestamp should be replaced by approved derived features for modeling review.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order timestamp is known at order creation and is needed for chronological split and seasonality features.,Use derived calendar features; avoid treating raw timestamp as an unconstrained model feature.
Order Id,Order_Id,raw_dataco,numeric,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,"Order ID is a row/order identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation."
Order Item Cardprod Id,Order_Item_Cardprod_Id,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Identifier or numeric key; direct bivariate ranking is not a modeling signal.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Order-item product code is known at order creation but may be high-cardinality.,Use only after product grouping or train-only encoding review.
Order Item Discount,Order_Item_Discount,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (34.0, 500.0] had mean profit $32.49 (+10.51 vs overall).","nonlinear or uneven bin pattern; highest supported bin (34.0, 500.0] $32.49; lowest bin (4.0, 10.0] $16.44.",10.5119,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discount value is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Allowed only if documented as pre-dispatch and not used to reconstruct profit target.
Order Item Discount Rate,Order_Item_Discount_Rate,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (0.17, 0.25] had mean profit $19.03 (-2.94 vs overall).","mean profit decreases across supported bins; highest supported bin (-0.001, 0.03] $24.08; lowest bin (0.17, 0.25] $19.03.",-2.9424,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discount rate is likely known at order time but must be reviewed for AO2 target-reconstruction risk.,Can support commercial structure features with AO2 review.
Order Item Id,Order_Item_Id,raw_dataco,numeric,forbidden,excluded,no,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Excluded from AO2 modeling by leakage screening.,Exclude from AO2 predictor lists.,False,exclude_from_ao2_modeling,False,"Order item ID is a row/item identifier, not a predictive business signal.","Use only for traceability, joins, deduplication, and validation."
Order Item Product Price,Order_Item_Product_Price,raw_dataco,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (215.82, 1999.99] had mean profit $39.99 (+18.01 vs overall).","mean profit increases across supported bins; highest supported bin (215.82, 1999.99] $39.99; lowest bin (9.989, 49.98] $12.76.",18.0134,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Product price is expected to be known at order time but may duplicate Product Price.,Prefer one price field only; document AO2 financial predictor selection.
