variable_name,analysis_column,variable_origin,variable_type,ao2_policy,screening_status,decision_time_valid,target_reconstruction_risk,eda_summary,notable_pattern,profit_difference_from_overall,sample_size_caveat,leakage_review_result,modeling_recommendation,requires_group_validation,recommended_action,financial_or_commercial_review_field,source_rationale,required_action_from_screening
product_department_key,product_department_key,shipping_product_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 11 groups; 8 met support. Strongest supported group '10_technology' had mean profit $77.25 (+55.27 vs overall).,Highest supported mean: '10_technology' $77.25; lowest: '9_discs_shop' $11.94.,55.2742,Minimum support 903; 3 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from planned shipping, category, or department fields expected before dispatch.",Confirm final Gold selection and avoid duplicate raw/category representations in the same model matrix.
product_catalog_key,product_catalog_key,shipping_product_engineered,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,High-cardinality descriptor; grouping or train-only aggregate design is needed first.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Product catalog composition key may be high-cardinality and should not be blindly encoded.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use."
product_name_normalized,product_name_normalized,shipping_product_engineered,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,High-cardinality descriptor; grouping or train-only aggregate design is needed first.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Normalized product name may be high-cardinality and unstable across catalog changes.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use."
product_status_flag,product_status_flag,shipping_product_engineered,categorical_numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Categorical: 1 groups; 1 met support. Strongest supported group '0' had mean profit $21.97 (+0.00 vs overall).,Highest supported mean: '0' $21.97; lowest: '0' $21.97.,0.0,Minimum support 903; 0 groups below threshold.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Product status source semantics require group confirmation before predictive use.,"Review cardinality, stability, and business interpretation before any AO1 or AO2 modeling use."
product_list_price,product_list_price,shipping_product_engineered,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (215.82, 1999.99] had mean profit $39.99 (+18.01 vs overall).","mean profit increases across supported bins; highest supported bin (215.82, 1999.99] $39.99; lowest bin (9.989, 49.98] $12.76.",18.0134,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Product list price is order-time commercial information but may duplicate item_unit_price source fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
order_item_quantity,order_item_quantity,shipping_product_engineered,categorical_numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,Categorical: 5 groups; 5 met support. Strongest supported group '2' had mean profit $12.24 (-9.74 vs overall).,Highest supported mean: '5' $29.95; lowest: '2' $12.24.,-9.7362,Minimum support 903; 0 groups below threshold.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,"This engineered quantity is decision-time valid, but it is reviewed with the AO2 commercial feature family to avoid an uncontrolled financial/order-composition predictor set.","Document whether AO2 uses this quantity alone, with selected price/discount fields, or excludes it from the main profitability model."
item_unit_price,item_unit_price,shipping_product_engineered,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (215.82, 1999.99] had mean profit $39.99 (+18.01 vs overall).","mean profit increases across supported bins; highest supported bin (215.82, 1999.99] $39.99; lowest bin (9.989, 49.98] $12.76.",18.0134,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Item unit price is order-time commercial information but may duplicate product_list_price source fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_discount_amount,item_discount_amount,shipping_product_engineered,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (34.0, 500.0] had mean profit $32.49 (+10.51 vs overall).","nonlinear or uneven bin pattern; highest supported bin (34.0, 500.0] $32.49; lowest bin (4.0, 10.0] $16.44.",10.5119,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discount amount is expected at order time but requires AO2 target-reconstruction and redundancy review.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_discount_rate,item_discount_rate,shipping_product_engineered,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (0.17, 0.25] had mean profit $19.03 (-2.94 vs overall).","mean profit decreases across supported bins; highest supported bin (-0.001, 0.03] $24.08; lowest bin (0.17, 0.25] $19.03.",-2.9424,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discount rate is expected at order time but requires AO2 target-reconstruction and redundancy review.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_gross_sales_estimate,item_gross_sales_estimate,shipping_product_engineered,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (299.98, 1999.99] had mean profit $46.27 (+24.29 vs overall).","mean profit increases across supported bins; highest supported bin (299.98, 1999.99] $46.27; lowest bin (9.989, 100.0] $7.41.",24.2917,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Gross value estimate is derived from price and quantity and may duplicate Sales-like value fields.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_net_sales_amount,item_net_sales_amount,shipping_product_engineered,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (272.98, 1939.99] had mean profit $42.81 (+20.83 vs overall).","mean profit increases across supported bins; highest supported bin (272.98, 1939.99] $42.81; lowest bin (7.489, 94.5] $6.89.",20.8311,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Net sales amount comes from Order Item Total and is recommended as AO3 denominator but must be reviewed for AO2 use.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
item_discount_share_of_gross,item_discount_share_of_gross,shipping_product_engineered,numeric,conditional,needs_group_review,requires_group_review,commercial_formula_review_required,"Numeric: 5 supported quantile bins; missing rate 0.0%. Strongest supported bin (0.17, 0.25] had mean profit $18.97 (-3.01 vs overall).","mean profit decreases across supported bins; highest supported bin (-0.001, 0.03] $24.78; lowest bin (0.17, 0.25] $18.97.",-3.0072,Minimum support 903; missing rate 0.0%.,Commercial or order-value field; not approved for AO2 modeling without group validation of target-reconstruction risk.,Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,True,Discount share is derived from order value components and should be reviewed before AO2 modeling.,Document selected AO2 financial predictors and avoid duplicate value fields or profit target reconstruction.
_shipping_product_features_processed_timestamp,,shipping_product_engineered,unavailable,not_applicable,excluded,not_applicable,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Processing metadata or non-business field; not a modeling predictor.,Use only as descriptive context unless policy changes.,False,descriptive_context_only,False,"Pipeline processing timestamp used for lineage, not business prediction.",Retain only for audit lineage; exclude from AO1 and AO2 predictor matrices.
customer_segment_normalized,customer_segment_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 3 groups; 3 met support. Strongest supported group 'home_office' had mean profit $21.44 (-0.54 vs overall).,Highest supported mean: 'consumer' $22.18; lowest: 'home_office' $21.44.,-0.5376,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_country_normalized,customer_country_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 2 groups; 2 met support. Strongest supported group 'puerto_rico' had mean profit $21.82 (-0.16 vs overall).,Highest supported mean: 'ee_uu' $22.07; lowest: 'puerto_rico' $21.82.,-0.1599,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_state_normalized,customer_state_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 46 groups; 27 met support. Strongest supported group 'nm' had mean profit $28.12 (+6.14 vs overall).,Highest supported mean: 'nm' $28.12; lowest: 'la' $18.11.,6.1444,Minimum support 903; 19 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_zipcode_available,customer_zipcode_available,customer_regional_engineered,categorical_numeric,allowed,deferred_to_gold,yes,low_known_direct_risk,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
market_normalized,market_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 5 groups; 5 met support. Strongest supported group 'europe' had mean profit $23.27 (+1.30 vs overall).,Highest supported mean: 'europe' $23.27; lowest: 'pacific_asia' $20.79.,1.2966,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_country_normalized,order_country_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Skipped direct category ranking: 164 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_region_normalized,order_region_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 23 groups; 22 met support. Strongest supported group 'southern_africa' had mean profit $26.64 (+4.67 vs overall).,Highest supported mean: 'southern_africa' $26.64; lowest: 'west_asia' $19.77.,4.6681,Minimum support 903; 1 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_state_normalized,order_state_normalized,customer_regional_engineered,categorical,allowed,deferred_to_gold,yes,low_known_direct_risk,Skipped direct category ranking: 1089 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
order_zipcode_available,order_zipcode_available,customer_regional_engineered,categorical_numeric,allowed,deferred_to_gold,yes,low_known_direct_risk,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_order_country_match,customer_order_country_match,customer_regional_engineered,categorical_numeric,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 1 groups; 1 met support. Strongest supported group '0' had mean profit $21.97 (+0.00 vs overall).,Highest supported mean: '0' $21.97; lowest: '0' $21.97.,0.0,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_order_state_match,customer_order_state_match,customer_regional_engineered,categorical_numeric,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 1 groups; 1 met support. Strongest supported group '0' had mean profit $21.97 (+0.00 vs overall).,Highest supported mean: '0' $21.97; lowest: '0' $21.97.,0.0,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
geo_coordinates_available,geo_coordinates_available,customer_regional_engineered,categorical_numeric,allowed,deferred_to_gold,yes,low_known_direct_risk,Categorical: 1 groups; 1 met support. Strongest supported group '1' had mean profit $21.97 (+0.00 vs overall).,Highest supported mean: '1' $21.97; lowest: '1' $21.97.,0.0,Minimum support 903; 0 groups below threshold.,AO2 allowed by conceptual screening; still subject to Gold/modeling review.,Candidate for later AO2 Gold/modeling review; do not infer causality or final feature approval.,False,candidate_for_gold_review,False,"Derived from customer segment, coarse geography, or availability flags expected at order creation.",Confirm final Gold selection and fit any learned categorical handling on training data only.
customer_city_normalized,customer_city_normalized,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Skipped direct category ranking: 563 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Customer city may be high-cardinality and unstable for direct modeling.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
order_city_normalized,order_city_normalized,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Skipped direct category ranking: 3596 distinct values exceeds the focused EDA limit of 75.,High-cardinality field; review grouping before modeling.,,High-cardinality direct use not reviewed; minimum support was 903.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Destination city may be high-cardinality and unstable for direct modeling.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
customer_region_key,customer_region_key,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,High-cardinality descriptor; grouping or train-only aggregate design is needed first.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Customer region key combines multiple location levels and may be high-cardinality.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
order_region_key,order_region_key,customer_regional_engineered,categorical,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,High-cardinality descriptor; grouping or train-only aggregate design is needed first.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Destination region key combines multiple location levels and may be high-cardinality.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
latitude_rounded,latitude_rounded,customer_regional_engineered,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Rounded latitude reduces precision but still needs review for geographic granularity and stability.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
longitude_rounded,longitude_rounded,customer_regional_engineered,numeric,conditional,needs_group_review,requires_group_review,policy_or_stability_review_required,Direct bivariate ranking skipped for this review-sensitive field.,Granular location field; use only approved coarse grouping or availability flags.,,Requires approved grouping or train-only aggregate design before modeling.,"Decision-time plausible, but not approved for AO2 modeling without group validation.",Prepare for group validation; do not approve as an AO2 modeling predictor in this issue.,True,conditional_requires_group_review,False,Rounded longitude reduces precision but still needs review for geographic granularity and stability.,"Review cardinality, privacy, stability, and grouping strategy before modeling use."
_customer_regional_features_processed_timestamp,,customer_regional_engineered,unavailable,not_applicable,excluded,not_applicable,low_known_direct_risk,Not analyzed as an AO2 candidate under the current leakage or target policy.,Excluded from candidate modeling review.,,Not applicable.,Processing metadata or non-business field; not a modeling predictor.,Use only as descriptive context unless policy changes.,False,descriptive_context_only,False,"Pipeline processing timestamp used for lineage, not business prediction.",Retain only for audit lineage; exclude from AO1 and AO2 predictor matrices.
